feature_set,num_features,model,threshold,test_precision_label1,test_recall_label1,test_f1_label1,test_macro_f1,test_pr_auc,test_auc,test_loss,test_confusion_matrix,val_precision_label1,val_recall_label1,val_f1_label1,test_oracle_threshold,test_oracle_f1_label1,selected_features
top40,40,xgb,0.8150000000000001,0.5593594699061292,0.7194602272727273,0.6293880086983535,0.8058819022972052,0.6498474957741975,0.9708943035296128,0.19706387767543299,"[[33249, 798], [395, 1013]]",0.5703781512605042,0.7713068181818182,0.6557971014492754,0.842,0.632291330970029,"syn_flag_count,init_win_bytes_forward,bwd_header_length,fwd_header_length,bwd_packet_length_max,init_win_bytes_backward,bwd_packet_length_std,avg_bwd_segment_size,total_backward_packets,total_length_of_bwd_packets,packet_length_std,max_packet_length,bwd_packet_length_mean,bwd_iat_total,bwd_iat_max,active_max,bwd_iat_mean,packet_length_variance,active_mean,total_fwd_packets,fwd_iat_total,fwd_iat_max,active_min,flow_iat_std,fwd_iat_mean,fwd_iat_std,flow_duration,down_up_ratio,has_init_win_bytes_backward,bwd_iat_std,bwd_packets_per_s,flow_bytes_per_s,ack_flag_count,flow_iat_max,average_packet_size,packet_length_mean,min_seg_size_forward,flow_packets_per_s,bwd_iat_min,fwd_packet_length_max"
top40,40,lgbm,0.85,0.6211305518169583,0.6555397727272727,0.6378714581893573,0.8112316594640034,0.685990324413481,0.9701599097137112,0.1476834530076717,"[[33484, 563], [485, 923]]",0.6487549148099607,0.703125,0.6748466257668712,0.752,0.6418517360025023,"syn_flag_count,init_win_bytes_forward,bwd_header_length,fwd_header_length,bwd_packet_length_max,init_win_bytes_backward,bwd_packet_length_std,avg_bwd_segment_size,total_backward_packets,total_length_of_bwd_packets,packet_length_std,max_packet_length,bwd_packet_length_mean,bwd_iat_total,bwd_iat_max,active_max,bwd_iat_mean,packet_length_variance,active_mean,total_fwd_packets,fwd_iat_total,fwd_iat_max,active_min,flow_iat_std,fwd_iat_mean,fwd_iat_std,flow_duration,down_up_ratio,has_init_win_bytes_backward,bwd_iat_std,bwd_packets_per_s,flow_bytes_per_s,ack_flag_count,flow_iat_max,average_packet_size,packet_length_mean,min_seg_size_forward,flow_packets_per_s,bwd_iat_min,fwd_packet_length_max"
top60,60,xgb,0.857,0.5963995354239257,0.7294034090909091,0.6562300319488817,0.8201775713004957,0.7044592445947695,0.9784105991016429,0.16966750440229764,"[[33352, 695], [381, 1027]]",0.6036519871106337,0.7982954545454546,0.6874617737003058,0.84,0.6610434239300219,"syn_flag_count,init_win_bytes_forward,bwd_header_length,fwd_header_length,bwd_packet_length_max,init_win_bytes_backward,bwd_packet_length_std,avg_bwd_segment_size,total_backward_packets,total_length_of_bwd_packets,packet_length_std,max_packet_length,bwd_packet_length_mean,bwd_iat_total,bwd_iat_max,active_max,bwd_iat_mean,packet_length_variance,active_mean,total_fwd_packets,fwd_iat_total,fwd_iat_max,active_min,flow_iat_std,fwd_iat_mean,fwd_iat_std,flow_duration,down_up_ratio,has_init_win_bytes_backward,bwd_iat_std,bwd_packets_per_s,flow_bytes_per_s,ack_flag_count,flow_iat_max,average_packet_size,packet_length_mean,min_seg_size_forward,flow_packets_per_s,bwd_iat_min,fwd_packet_length_max,fwd_packet_length_std,fwd_packets_per_s,flow_iat_mean,fwd_packet_length_min,total_length_of_fwd_packets,bwd_psh_flags,cwe_flag_count,fwd_iat_min,fwd_packet_length_mean,avg_fwd_segment_size,ece_flag_count,psh_flag_count,min_packet_length,flow_iat_min,fwd_psh_flags,has_init_win_bytes_forward,act_data_pkt_fwd,rst_flag_count,fin_flag_count,bwd_packet_length_min"
top60,60,lgbm,0.778,0.6168559473998805,0.7329545454545454,0.6699123661148978,0.8274593896504991,0.7473247658866458,0.978016581189906,0.12327394676291319,"[[33406, 641], [376, 1032]]",0.6490825688073395,0.8039772727272727,0.7182741116751269,0.764,0.6750160565189467,"syn_flag_count,init_win_bytes_forward,bwd_header_length,fwd_header_length,bwd_packet_length_max,init_win_bytes_backward,bwd_packet_length_std,avg_bwd_segment_size,total_backward_packets,total_length_of_bwd_packets,packet_length_std,max_packet_length,bwd_packet_length_mean,bwd_iat_total,bwd_iat_max,active_max,bwd_iat_mean,packet_length_variance,active_mean,total_fwd_packets,fwd_iat_total,fwd_iat_max,active_min,flow_iat_std,fwd_iat_mean,fwd_iat_std,flow_duration,down_up_ratio,has_init_win_bytes_backward,bwd_iat_std,bwd_packets_per_s,flow_bytes_per_s,ack_flag_count,flow_iat_max,average_packet_size,packet_length_mean,min_seg_size_forward,flow_packets_per_s,bwd_iat_min,fwd_packet_length_max,fwd_packet_length_std,fwd_packets_per_s,flow_iat_mean,fwd_packet_length_min,total_length_of_fwd_packets,bwd_psh_flags,cwe_flag_count,fwd_iat_min,fwd_packet_length_mean,avg_fwd_segment_size,ece_flag_count,psh_flag_count,min_packet_length,flow_iat_min,fwd_psh_flags,has_init_win_bytes_forward,act_data_pkt_fwd,rst_flag_count,fin_flag_count,bwd_packet_length_min"
all,68,xgb,0.8290000000000001,0.5745945945945946,0.7549715909090909,0.6525475751995089,0.8179074421849848,0.702629078760896,0.9781587434615786,0.16972140451091833,"[[33260, 787], [345, 1063]]",0.5897177419354839,0.8309659090909091,0.6898584905660378,0.857,0.6583652618135377,"syn_flag_count,init_win_bytes_forward,bwd_header_length,fwd_header_length,bwd_packet_length_max,init_win_bytes_backward,bwd_packet_length_std,avg_bwd_segment_size,total_backward_packets,total_length_of_bwd_packets,packet_length_std,max_packet_length,bwd_packet_length_mean,bwd_iat_total,bwd_iat_max,active_max,bwd_iat_mean,packet_length_variance,active_mean,total_fwd_packets,fwd_iat_total,fwd_iat_max,active_min,flow_iat_std,fwd_iat_mean,fwd_iat_std,flow_duration,down_up_ratio,has_init_win_bytes_backward,bwd_iat_std,bwd_packets_per_s,flow_bytes_per_s,ack_flag_count,flow_iat_max,average_packet_size,packet_length_mean,min_seg_size_forward,flow_packets_per_s,bwd_iat_min,fwd_packet_length_max,fwd_packet_length_std,fwd_packets_per_s,flow_iat_mean,fwd_packet_length_min,total_length_of_fwd_packets,bwd_psh_flags,cwe_flag_count,fwd_iat_min,fwd_packet_length_mean,avg_fwd_segment_size,ece_flag_count,psh_flag_count,min_packet_length,flow_iat_min,fwd_psh_flags,has_init_win_bytes_forward,act_data_pkt_fwd,rst_flag_count,fin_flag_count,bwd_packet_length_min,idle_min,idle_max,idle_mean,active_std,idle_std,urg_flag_count,fwd_urg_flags,bwd_urg_flags"
all,68,lgbm,0.841,0.643048128342246,0.6832386363636364,0.662534435261708,0.8240619710349654,0.73861936120862,0.9770214557182986,0.12473509531338291,"[[33513, 534], [446, 962]]",0.6794380587484036,0.7556818181818182,0.7155346334902488,0.762,0.6711366538952745,"syn_flag_count,init_win_bytes_forward,bwd_header_length,fwd_header_length,bwd_packet_length_max,init_win_bytes_backward,bwd_packet_length_std,avg_bwd_segment_size,total_backward_packets,total_length_of_bwd_packets,packet_length_std,max_packet_length,bwd_packet_length_mean,bwd_iat_total,bwd_iat_max,active_max,bwd_iat_mean,packet_length_variance,active_mean,total_fwd_packets,fwd_iat_total,fwd_iat_max,active_min,flow_iat_std,fwd_iat_mean,fwd_iat_std,flow_duration,down_up_ratio,has_init_win_bytes_backward,bwd_iat_std,bwd_packets_per_s,flow_bytes_per_s,ack_flag_count,flow_iat_max,average_packet_size,packet_length_mean,min_seg_size_forward,flow_packets_per_s,bwd_iat_min,fwd_packet_length_max,fwd_packet_length_std,fwd_packets_per_s,flow_iat_mean,fwd_packet_length_min,total_length_of_fwd_packets,bwd_psh_flags,cwe_flag_count,fwd_iat_min,fwd_packet_length_mean,avg_fwd_segment_size,ece_flag_count,psh_flag_count,min_packet_length,flow_iat_min,fwd_psh_flags,has_init_win_bytes_forward,act_data_pkt_fwd,rst_flag_count,fin_flag_count,bwd_packet_length_min,idle_min,idle_max,idle_mean,active_std,idle_std,urg_flag_count,fwd_urg_flags,bwd_urg_flags"
