context,K,feature,valid_flows,attack_valid_flows,benign_valid_flows,attack_mean,benign_mean,attack_median,benign_median,mean_difference,cohen_d,mannwhitney_p,auc_as_single_feature
source,256,source_attack_ratio_k256,162446,6265,156181,0.0927003533427038,0.03305399186136608,0.0625,0.013793103396892548,0.059646361481337715,1.0342353732517768,0.0,0.7577400161076335
source,128,source_attack_ratio_k128,162446,6265,156181,0.0955463176795355,0.03390555110236777,0.0625,0.014084506779909134,0.06164076657716773,1.0428193198024176,0.0,0.7576775673331277
source,64,source_attack_ratio_k64,162446,6265,156181,0.09935917439710733,0.034631035529725025,0.0625,0.0,0.0647281388673823,1.0488876368363125,0.0,0.7532794845491879
source,32,source_attack_ratio_k32,162446,6265,156181,0.10401500885011383,0.03528176668839298,0.0625,0.0,0.06873324216172086,1.0333424729650933,0.0,0.7356625482620787
destination,64,destination_attack_ratio_k64,160067,5591,154476,0.14727094651375947,0.029206609904453833,0.07692307978868484,0.0,0.11806433660930563,1.261347822500171,0.0,0.7354257204451587
destination,128,destination_attack_ratio_k128,160067,5591,154476,0.14642170131085913,0.029188452054887983,0.0714285746216774,0.0,0.11723324925597114,1.2596344461844866,0.0,0.7337651971287782
destination,32,destination_attack_ratio_k32,160067,5591,154476,0.1490339685595914,0.029345986280289237,0.0625,0.0,0.11968798227930215,1.2624738323409024,0.0,0.7314198493314357
destination,256,destination_attack_ratio_k256,160067,5591,154476,0.14606105799652985,0.02931466978021915,0.0714285746216774,0.0,0.1167463882163107,1.2571493021015234,0.0,0.7305667694918818
destination,16,destination_attack_ratio_k16,160067,5591,154476,0.15209165267730268,0.02948141753158057,0.0625,0.0,0.12261023514572211,1.2568651648927474,0.0,0.7160657310020886
source,16,source_attack_ratio_k16,162446,6265,156181,0.109539179181634,0.03557291534945876,0.0625,0.0,0.07396626383217525,0.9844098610556474,0.0,0.7003868948112483
endpoint,64,endpoint_attack_ratio_k64,99955,3811,96144,0.17116551512592781,0.03324391638307497,0.0,0.0,0.13792159874285284,1.0289296326873878,0.0,0.6674488084740726
endpoint,128,endpoint_attack_ratio_k128,99955,3811,96144,0.17098136042809,0.03322632793944233,0.0,0.0,0.13775503248864768,1.0282768464538903,0.0,0.6673739186221977
endpoint,256,endpoint_attack_ratio_k256,99955,3811,96144,0.17084485281095577,0.03323191162814762,0.0,0.0,0.13761294118280815,1.027554600029524,0.0,0.6672825729262313
endpoint,32,endpoint_attack_ratio_k32,99955,3811,96144,0.1714469820898338,0.03322420496928164,0.0,0.0,0.13822277712055217,1.0299628511132783,0.0,0.6661320994105797
endpoint,16,endpoint_attack_ratio_k16,99955,3811,96144,0.17166418297745617,0.03326708280077965,0.0,0.0,0.13839710017667653,1.0258086676588631,0.0,0.6619543046141013
time,256,time_attack_ratio_k256,177277,6556,170721,0.03879020649023795,0.03690019215502022,0.0390625,0.03515625,0.001890014335217731,0.12818144161823922,9.298886473053819e-24,0.5363868627854005
time,128,time_attack_ratio_k128,177277,6556,170721,0.039175707367297134,0.03689352803697261,0.0390625,0.03125,0.002282179330324527,0.11797085620532635,5.683141623751212e-21,0.533858979026536
time,64,time_attack_ratio_k64,177277,6556,170721,0.03955584579011592,0.03688135539857428,0.03125,0.03125,0.002674490391541641,0.101667851348625,9.419296582183007e-15,0.5276141990321713
time,32,time_attack_ratio_k32,177277,6556,170721,0.04100728340451495,0.03682708190556522,0.03125,0.03125,0.00418020149894973,0.11556930014245255,1.2236787459239396e-14,0.5267890642743237
time,16,time_attack_ratio_k16,177277,6556,170721,0.04254690359975595,0.03676795766191623,0.0,0.0,0.005778945937839723,0.11559300499705237,4.2636805550710165e-16,0.5262295715355653
