record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,0,1753970810073615,1753970810,73615,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,3031,3031,0
packet,0,1753970810074710,1753970810,74710,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,1095,1095,0
packet,0,1753970810077580,1753970810,77580,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2870,2870,0
packet,0,1753970810080020,1753970810,80020,627789217197843,0,4,185.239.63.85,18.157.47.184,54888,7836,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,8409,8409,0
packet,0,1753970810081102,1753970810,81102,629808496606867,0,4,185.239.63.85,158.51.125.55,54888,6930,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,0,0,0
packet,0,1753970810081997,1753970810,81997,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,4417,4417,0
packet,0,1753970810084254,1753970810,84254,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2257,2257,0
packet,0,1753970810086280,1753970810,86280,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2026,2026,0
packet,0,1753970810086622,1753970810,86622,653190769170405,1,4,10.30.9.64,185.46.212.237,52098,443,6,125,125,85,127,1758719296,104998797,24,9849,20,-1,-1,-1,0,65612,0,0
packet,0,1753970810088870,1753970810,88870,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,2590,2590,0
packet,0,1753970810090006,1753970810,90006,627789217197843,0,4,185.239.63.85,18.157.47.184,54888,7836,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,1,9986,9986,0
packet,0,1753970810092199,1753970810,92199,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,3329,3329,0
packet,0,1753970810104267,1753970810,104267,604613526365634,0,4,185.239.63.85,37.187.111.17,54888,80,17,1747,1729,1701,64,0,0,0,-1,-1,1709,-1,-1,22,12068,12068,0
packet,0,1753970810138802,1753970810,138802,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,769,769,741,64,0,0,0,-1,-1,749,-1,-1,1,0,0,0
packet,0,1753970810145107,1753970810,145107,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,1441,1441,1413,64,0,0,0,-1,-1,1421,-1,-1,1,6305,6305,0
packet,0,1753970810145107,1753970810,145107,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,377,377,349,64,0,0,0,-1,-1,357,-1,-1,1,0,0,0
packet,0,1753970810151178,1753970810,151178,596153584028650,0,4,185.46.212.237,10.30.9.61,443,54646,17,170,170,142,64,0,0,0,-1,-1,150,-1,-1,1,6071,6071,0
packet,0,1753970810152967,1753970810,152967,656992054201772,0,6,2001:0000:284a:0364:38b3:2c6e:d16f:7325,2001:0000:284a:0364:0c0e:38bf:46d6:7628,56702,7680,6,60,60,0,128,2312349426,363018103,16,252,20,-1,-1,-1,0,0,0,0
packet,0,1753970810163474,1753970810,163474,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,12296,0,0
packet,0,1753970810163497,1753970810,163497,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,23,23,0
packet,0,1753970810169446,1753970810,169446,596153584028650,1,4,10.30.9.61,185.46.212.237,54646,443,17,121,121,93,127,0,0,0,-1,-1,101,-1,-1,1,5949,5949,0
