K,Context,ConsistencyMean,ContextAttackRatio,ContextEnrichment,AvgContextSize
8,time,0.9293245964461276,0.03703076280470109,1.00004496400133,7.999841851690775
8,source,0.9317279848911145,0.03870393063434548,1.045230181243263,7.18997880154798
8,destination,0.941964244763513,0.03408687967024948,0.9205430774551787,6.967765338670336
8,endpoint,0.9390100968342964,0.04008595371590488,1.0825528048720587,4.178573581720625
16,time,0.9290889251243447,0.03703344777807215,1.0001174738254555,15.999322221531893
16,source,0.9313858763548644,0.03846580173047118,1.0387993223285115,13.486837240257339
16,destination,0.94187384883551,0.03385386560819671,0.9142503488790398,12.760128838576522
16,endpoint,0.938971568379237,0.04000808603720522,1.080449926777088,6.110869958401158
32,time,0.9289709174423876,0.03703676385215366,1.0002070270221575,31.997198515665154
32,source,0.9314508491060386,0.03797267626033697,1.0254820799689808,24.796599620399814
32,destination,0.9418883127318198,0.03362746597617705,0.908136248204228,22.7404778285071
32,endpoint,0.9389956370480169,0.03996942989349355,1.0794059871193917,8.442744317839272
64,time,0.9288613375773649,0.037040472592048075,1.0003071844689202,63.98861332173579
64,source,0.9318971093406379,0.037167341237161915,1.0037333723199482,44.08394340506298
64,destination,0.9419547078920584,0.03343987665717044,0.9030702506507242,38.91340921883795
64,endpoint,0.9389874331551298,0.03994654923466665,1.0787880768766687,11.180900705371677
128,time,0.9288239638362469,0.0370512259982313,1.0005975886865193,127.95409180509351
128,source,0.9324484489531275,0.036322174098148224,0.9809089669581782,73.81744065665903
128,destination,0.9419362819081081,0.033400645152649615,0.9020107729204607,62.53299143160923
128,endpoint,0.9389833201309864,0.039930165965709176,1.0783456337733166,14.530994152046784
256,time,0.9287772571321744,0.037073426547185435,1.0011971320255733,255.81564425667472
256,source,0.9331577810795002,0.03539294830135312,0.955814491227122,113.82052798935148
256,destination,0.9417996728603263,0.03351253845038196,0.9050325397010394,92.893814497467
256,endpoint,0.9389602988090527,0.03995635310790786,1.0790528382080593,18.75474769397721
