flow_id,IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label
326619380868984,185.41.138.25,60508,40.64.145.246,443,6,0,40,1,0,0,16,16,0,0,0,0,127,127,40,40,40,40,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,4136,0,0,0,0,0,0,0,0
558123216365471,185.239.63.150,61017,52.111.243.13,443,6,0,2668,6,178,1,24,24,24,690,690,0,115,126,1153,40,40,1153,3864.342461,0.000000,0,0,0,0,30914.739686,0.000000,3,1,0,2,1,1021,16385,0,0,0,0,0,0,0
284279982483370,185.41.139.179,80,170.83.97.87,22717,6,0,44,1,0,0,18,18,0,0,0,0,63,63,44,44,44,44,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,29200,0,0,0,0,0,0,0,0
341515022002103,185.41.136.49,8,10.91.35.65,0,1,0,84,1,0,0,0,0,0,0,0,0,63,63,84,84,84,84,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,0,0,0,0,0,0,2048,8,0,0,0,0,0
676266640893884,185.239.61.100,44827,35.157.50.145,443,6,0,419,1,0,0,24,24,0,0,0,0,61,61,419,419,419,419,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0,0,1,0,0,1324,0,0,0,0,0,0,0,0
472022684493766,8.8.8.8,0,185.239.63.146,8,1,0,120,3,40,1,0,0,0,1030,1030,0,63,116,40,40,40,40,116.451829,0.000000,0,0,0,0,931.614634,0.000000,4,0,0,0,0,0,0,0,0,0,0,0,0,0
307632921667572,185.41.138.24,61785,216.58.206.36,443,17,22,3030,45,365455,287,0,0,0,305,305,242,58,62,1278,60,60,1278,9909.895178,1509801.491397,0,0,0,0,79279.161420,12078411.931173,44,1,1,1,285,0,0,0,0,0,0,0,0,0
712771092768808,52.98.179.242,443,185.41.138.24,45167,6,0,4005,11,80,2,24,24,16,104,73,90,109,126,1125,40,40,1125,54818.708167,887.843207,0,0,0,0,438549.665339,7102.745655,8,0,2,2,1,16382,513,0,0,0,0,0,0,0
670002161084514,75.2.101.69,443,185.41.137.190,63519,6,0,85,1,40,1,24,24,16,47,0,0,126,247,85,40,40,85,0.000000,0.000000,0,0,0,0,0.000000,0.000000,2,0,0,0,0,265,1024,0,0,0,0,0,0,0
792929316989030,185.46.182.121,443,185.239.61.58,52200,6,0,120,2,121,2,24,24,24,114,114,64,63,246,81,40,40,81,1050.668488,1883.532324,0,0,0,0,8405.347903,15068.258589,4,0,0,0,0,2332,22393,0,0,0,0,0,0,0
324310195333262,185.239.60.98,3711,208.91.112.52,53,17,12,80,1,137,1,0,0,0,10,0,0,52,63,137,80,80,137,0.000000,0.000000,0,0,0,0,0.000000,0.000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0
520802560141464,185.41.138.68,51041,3.33.235.18,443,6,0,164,2,40,1,24,24,16,31,0,0,127,245,82,40,40,82,14909090.909091,0.000000,0,0,0,0,119272727.272727,0.000000,3,0,0,0,0,511,198,0,0,0,0,0,0,0
