flow_id,total_fwd_packets,total_backward_packets,label,flow_duration,flow_iat_mean,flow_iat_max,packet_rows,packet_fwd_count,packet_bwd_count,packet_unknown_direction_count,any_packet_label,alert_packet_count,packet_payload_sum,flow_iat_mean_from_packets,flow_iat_max_from_packets,direction_iat_mean_from_packets,direction_iat_max_from_packets,_merge,fwd_packet_diff,bwd_packet_diff
24082386988230,1,0,0,0,0.0,0,1,1,0,0,0,0,35,0.0,0,0.0,0,both,0,0
24213393929426,1,3,0,44509,14836.333333,26015,4,1,3,0,0,0,0,11127.25,26015,6528.25,26015,both,0,0
24306503212322,2,0,0,8633,8633.0,8633,2,2,0,0,0,0,0,4316.5,8633,4316.5,8633,both,0,0
24804774659149,1,1,0,5866,5866.0,5866,2,1,1,0,0,0,1,2933.0,5866,0.0,0,both,0,0
25523491049268,1,1,0,6702,6702.0,6702,2,1,1,0,0,0,185,3351.0,6702,0.0,0,both,0,0
26348259761675,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
26740588013957,3,3,0,22343,4468.6,12876,6,3,3,0,0,0,1192,3723.8333333333335,12876,6069.833333333333,17606,both,0,0
27151832272195,1,1,0,3415,3415.0,3415,2,1,1,0,0,0,1,1707.5,3415,0.0,0,both,0,0
27660536500839,1,1,0,28248,28248.0,28248,2,1,1,0,0,0,1,14124.0,28248,0.0,0,both,0,0
28512450522249,1,1,0,8530,8530.0,8530,2,1,1,0,0,0,102,4265.0,8530,0.0,0,both,0,0
29932581972555,1,0,0,0,0.0,0,1,1,0,0,0,0,489,0.0,0,0.0,0,both,0,0
30134067968790,1,0,0,0,0.0,0,1,1,0,0,0,0,56,0.0,0,0.0,0,both,0,0
31298315373550,8,6,0,58650,4511.538462,33906,14,8,6,0,0,0,6297,4189.285714285715,33906,8066.785714285715,41713,both,0,0
35278214545654,1,1,0,6554,6554.0,6554,2,1,1,0,0,0,116,3277.0,6554,0.0,0,both,0,0
35655471484700,47,39,0,57636,678.070588,33369,86,47,39,0,0,0,50470,670.1860465116279,33369,861.2441860465116,33369,both,0,0
36540905691217,3,2,0,23885,5971.25,11548,5,3,2,0,0,0,2636,4777.0,11548,7086.6,20931,both,0,0
37352753265036,1,1,0,4204,4204.0,4204,2,1,1,0,0,0,533,2102.0,4204,0.0,0,both,0,0
37405369283213,2,0,0,93,93.0,93,2,2,0,0,0,0,902,46.5,93,46.5,93,both,0,0
42041038531055,10,10,0,56149,2955.210526,10924,20,10,10,0,0,0,9956,2807.45,10924,5341.15,24667,both,0,0
42246934467371,4,2,0,56101,11220.2,36787,6,4,2,0,0,0,1400,9350.166666666666,36787,17716.5,50198,both,0,0
42248140844517,2,1,0,34143,17071.5,24564,3,2,1,0,0,0,96,11381.0,24564,11381.0,34143,both,0,0
42250309106169,2,2,0,11689,3896.333333,5865,4,2,2,0,0,0,344,2922.25,5865,2931.5,11689,both,0,0
46192487518599,2,3,0,35081,8770.25,24862,5,2,3,0,0,0,1259,7016.2,24862,12124.2,30013,both,0,0
46195599363921,2,2,0,26353,8784.333333,24476,4,2,2,0,0,0,111,6588.25,24476,6590.5,26353,both,0,0
47331692324539,2,1,0,20071,10035.5,15250,3,2,1,0,0,0,73,6690.333333333333,15250,5083.333333333333,15250,both,0,0
49895824100774,1,0,0,0,0.0,0,1,1,0,0,0,0,1,0.0,0,0.0,0,both,0,0
51696817562220,2,0,0,53901,53901.0,53901,2,2,0,0,0,0,0,26950.5,53901,26950.5,53901,both,0,0
51698482888832,2,0,0,53901,53901.0,53901,2,2,0,0,0,0,0,26950.5,53901,26950.5,53901,both,0,0
52463942886417,1,0,0,0,0.0,0,1,1,0,0,0,0,55,0.0,0,0.0,0,both,0,0
52519540416314,2,0,0,53709,53709.0,53709,2,2,0,0,0,0,0,26854.5,53709,26854.5,53709,both,0,0
52691861540453,2,0,0,53669,53669.0,53669,2,2,0,0,0,0,0,26834.5,53669,26834.5,53669,both,0,0
53061516847903,1,0,0,0,0.0,0,1,1,0,0,0,0,0,0.0,0,0.0,0,both,0,0
53518554809026,1,0,0,0,0.0,0,1,1,0,0,0,0,47,0.0,0,0.0,0,both,0,0
55401007336337,2,0,0,53038,53038.0,53038,2,2,0,0,0,0,0,26519.0,53038,26519.0,53038,both,0,0
55405468135003,2,0,0,53037,53037.0,53037,2,2,0,0,0,0,0,26518.5,53037,26518.5,53037,both,0,0
55480946742443,2,0,0,53020,53020.0,53020,2,2,0,0,0,0,0,26510.0,53020,26510.0,53020,both,0,0
56374468436342,4,2,0,28757,5751.4,9887,6,4,2,0,0,0,4205,4792.833333333333,9887,6322.166666666667,19063,both,0,0
56544031773840,4,2,0,52772,10554.4,29072,6,4,2,0,0,0,189,8795.333333333334,29072,12745.333333333334,37206,both,0,0
57875214688135,6,62,0,52170,778.656716,11172,68,6,62,0,0,0,79578,767.2058823529412,11172,1325.514705882353,22900,both,0,0
58067118663439,1,0,0,0,0.0,0,1,1,0,0,0,0,656,0.0,0,0.0,0,both,0,0
58214273379184,2,0,0,52383,52383.0,52383,2,2,0,0,0,0,0,26191.5,52383,26191.5,52383,both,0,0
58294729273109,2,0,0,52365,52365.0,52365,2,2,0,0,0,0,0,26182.5,52365,26182.5,52365,both,0,0
58751028946719,1,1,0,46921,46921.0,46921,2,1,1,0,0,0,41,23460.5,46921,0.0,0,both,0,0
59295158549781,3,0,0,17851,8925.5,9460,3,3,0,0,0,0,420,5950.333333333333,9460,5950.333333333333,9460,both,0,0
59502936677665,1,0,0,0,0.0,0,1,1,0,0,0,0,1,0.0,0,0.0,0,both,0,0
59742958850553,2,0,0,52028,52028.0,52028,2,2,0,0,0,0,0,26014.0,52028,26014.0,52028,both,0,0
61382347075111,6,10,0,47983,3198.866667,24932,16,6,10,0,0,0,6793,2998.9375,24932,4199.5625,35595,both,0,0
62650055189723,4,0,0,51351,17117.0,25897,4,4,0,0,0,0,571,12837.75,25897,12837.75,25897,both,0,0
