,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_count,inf_count,zero_count,negative_count
fwd_header_length,38671.0,551.5277081016783,7898.613913261264,20.0,28.0,28.0,40.0,84.0,160.0,936.0,6904.0,1084480.0,0,0,0,0
bwd_header_length,38671.0,426.2265780559075,4911.9165479741505,0.0,0.0,0.0,0.0,28.0,120.0,778.0,5973.200000000012,382400.0,0,0,15958,0
fwd_packets_per_s,38671.0,1627.1384496372218,49315.65834439393,0.0,0.0,0.0,0.413664,3.185094,52.5942105,319.13196949999997,2072.7116110001357,3000000.0,0,0,8073,0
bwd_packets_per_s,38671.0,72.44709026060872,606.3210245581953,0.0,0.0,0.0,0.0,1.287159,34.3559745,283.91615049999996,846.1588864000013,71428.571429,0,0,15958,0
min_packet_length,38671.0,40.551058933050605,157.5937885717047,0.0,0.0,0.0,0.0,0.0,31.0,127.0,1200.0,1701.0,0,0,24519,0
max_packet_length,38671.0,370.7506658736521,547.6026784117124,0.0,0.0,0.0,0.0,48.0,517.0,1460.0,1460.0,1701.0,0,0,9963,0
packet_length_mean,38671.0,157.47234891068243,259.66401213483846,0.0,0.0,0.0,0.0,39.5,194.0,724.0,1200.0,1701.0,0,0,9963,0
packet_length_std,38671.0,139.09526391282873,227.19084330751295,0.0,0.0,0.0,0.0,6.350853,186.6311705,645.134751,715.7733802000001,1032.375901,0,0,17422,0
packet_length_variance,38671.0,70961.83698664515,142394.3072710054,0.0,0.0,0.0,0.0,40.333333,34831.195813,416198.85403349996,512331.53272750025,1065800.0,0,0,17422,0
fin_flag_count,38671.0,0.13115771508365442,0.45961182813327706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0,0,35236,0
syn_flag_count,38671.0,0.3258255540327377,1.5216275331381266,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,150.0,0,0,28967,0
rst_flag_count,38671.0,0.05981226241886685,0.6675192551240329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,77.0,0,0,37130,0
psh_flag_count,38671.0,3.8837371673864136,53.96789918357685,0.0,0.0,0.0,0.0,0.0,2.0,10.0,48.0,6340.0,0,0,23218,0
ack_flag_count,38671.0,14.786480825424738,259.820355772317,0.0,0.0,0.0,0.0,1.0,4.0,24.0,153.3000000000029,33430.0,0,0,17600,0
urg_flag_count,38671.0,7.757751286493755e-05,0.011370715892978611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,38669,0
cwe_flag_count,38671.0,0.022988802978976493,0.7388611326335741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,0,0,38158,0
ece_flag_count,38671.0,0.026660805254583538,0.7446648914881191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,0,0,38117,0
down_up_ratio,38671.0,0.5888650098264849,0.8671626783421051,0.0,0.0,0.0,0.0,0.5,1.0,1.571429,2.9325545000000206,50.0,0,0,15958,0
average_packet_size,38671.0,157.47234891068243,259.66401213483846,0.0,0.0,0.0,0.0,39.5,194.0,724.0,1200.0,1701.0,0,0,9963,0
avg_fwd_segment_size,38671.0,152.6458447581133,288.92964377620393,0.0,0.0,0.0,0.0,37.0,128.0,843.55,1339.6102862000002,1701.0,0,0,10720,0
avg_bwd_segment_size,38671.0,115.28587405466628,256.5164366866461,0.0,0.0,0.0,0.0,0.0,82.0,673.0208335,1279.1250000000036,1460.0,0,0,22353,0
init_win_bytes_forward,38671.0,12237.136820873522,20565.083241916713,-1.0,-1.0,-1.0,-1.0,501.0,20246.5,65535.0,65535.0,65535.0,0,0,301,11717
init_win_bytes_backward,38671.0,4563.250937394947,14225.44507559179,-1.0,-1.0,-1.0,-1.0,-1.0,510.0,33212.0,65535.0,65535.0,0,0,177,22800
act_data_pkt_fwd,38671.0,5.115150888262522,162.48297225206994,0.0,0.0,0.0,0.0,0.0,1.0,7.0,56.30000000000291,27112.0,0,0,22418,0
min_seg_size_forward,38671.0,15.574254609397222,11.019167220553733,0.0,0.0,0.0,0.0,20.0,20.0,32.0,32.0,44.0,0,0,11717,0
active_mean,38671.0,1204994.2899200951,1842747.9523967353,0.0,0.0,0.0,1038.0,55644.0,2202181.0,5203633.5,6025167.900000006,6091616.0,0,0,9172,0
active_std,38671.0,1054.1956421757648,15089.481618305044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4540.82761650008,709627.616861,0,0,38227,0
active_max,38671.0,1205739.718807375,1842356.2748974285,0.0,0.0,0.0,1046.5,56453.0,2202181.0,5203633.5,6025167.900000006,6091616.0,0,0,9172,0
active_min,38671.0,1204248.8610328152,1843201.3131848357,0.0,0.0,0.0,43.0,53888.0,2202181.0,5203633.5,6025167.900000006,6091616.0,0,0,9576,0
idle_mean,38671.0,219366.9040366166,1077959.0860020313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5767732.0,6091203.0,0,0,37128,0
idle_std,38671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,38671,0
idle_max,38671.0,219366.9040366166,1077959.0860020313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5767732.0,6091203.0,0,0,37128,0
idle_min,38671.0,219366.9040366166,1077959.0860020313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5767732.0,6091203.0,0,0,37128,0
label,38671.0,0.033384189702878125,0.17963997347376684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,37380,0
