record_type,packet_id,timestamp_us,ts_sec,ts_usec,flow_id,direction,ip_version,src_ip,dst_ip,src_port,dst_port,protocol,pkt_len,ip_len,payload_len,ttl_or_hop_limit,tcp_seq,tcp_ack,tcp_flags,tcp_window,tcp_header_len,udp_len,icmp_type,icmp_code,l7_proto,flow_iat_us,direction_iat_us,packet_label
packet,0,1753970816065937,1753970816,65937,1310177122244235,0,4,194.180.49.111,185.239.63.102,61080,44477,6,40,40,0,64,3188156120,0,0,2560,20,-1,-1,-1,1,2694112,2694112,1
packet,368998,1753970812202150,1753970812,202150,1310177122244235,0,4,194.180.49.111,185.239.63.102,61080,44477,6,101,83,43,121,3188155546,2297784529,24,1026,20,-1,-1,-1,0,27,27,1
packet,0,1753970816065937,1753970816,65937,1321785442820552,0,4,194.180.49.109,185.239.60.42,55975,33189,6,40,40,0,64,3672784894,0,0,2560,20,-1,-1,-1,1,2808212,3851211,1
packet,358188,1753970812135933,1753970812,135933,1321785442820552,0,4,194.180.49.109,185.239.60.42,55975,33189,6,101,83,43,121,3672784235,339639611,24,1026,20,-1,-1,-1,0,72,72,1
packet,0,1753970816065937,1753970816,65937,1322145517134134,0,4,194.180.49.109,185.239.61.141,56011,44477,6,40,40,0,64,1366228757,0,0,2560,20,-1,-1,-1,1,2760762,2760762,1
packet,358731,1753970812138915,1753970812,138915,1322145517134134,0,4,194.180.49.109,185.239.61.141,56011,44477,6,101,83,43,121,1366228098,191200142,24,1026,20,-1,-1,-1,0,25,25,1
packet,0,1753970816065937,1753970816,65937,1368641116484402,1,4,104.78.173.167,185.239.60.247,80,61835,6,40,40,0,64,2432292254,0,0,2560,20,-1,-1,-1,2,0,3630762,1
packet,407033,1753970812435175,1753970812,435175,1368641116484402,1,4,104.78.173.167,185.239.60.247,80,61835,6,519,501,461,52,2432291793,2923458912,24,501,20,-1,-1,-1,2,16941,38207,1
packet,0,1753970816065937,1753970816,65937,1490580865132235,0,4,194.180.49.107,185.239.60.42,64040,33189,6,40,40,0,64,1773984412,0,0,2560,20,-1,-1,-1,1,1448366,2458945,1
packet,587737,1753970813503153,1753970813,503153,1490580865132235,0,4,194.180.49.107,185.239.60.42,64040,33189,6,101,83,43,121,1773983140,666060636,24,1026,20,-1,-1,-1,0,22,22,1
packet,0,1753970816065937,1753970816,65937,1558470848155168,1,4,2.23.77.188,185.41.138.39,80,33551,6,40,40,0,64,2914899070,0,0,2560,20,-1,-1,-1,2,0,2933747,1
