model,fit_seconds,threshold,accuracy,precision_label1,recall_label1,f1_label1,macro_f1,weighted_f1,auc,pr_auc,loss,confusion_matrix,oracle_threshold_test_only,oracle_f1_label1_test_only
extratrees,0.1943345069885254,0.34374747474747475,0.998,0.995221843003413,0.9993145990404386,0.9972640218878249,0.9978439888792947,0.9980008699504872,0.99963059558673,0.9995542354861815,0.009815111012972924,"[[2534, 7], [1, 1458]]",0.44455555555555554,0.9986301369863013
logreg,0.7391457557678223,0.7671414141414141,0.979,0.9777623349548298,0.9643591501028101,0.9710144927536232,0.9772751805202847,0.9789686965611668,0.9983532574348202,0.9971191030544393,0.05650598848240627,"[[2509, 32], [52, 1407]]",0.5957676767676767,0.9717206132879046
