epoch,train_loss_optim,best_epoch,best_score,train_accuracy,train_precision,train_recall,train_f1,train_auroc,train_auprc,train_tn,train_fp,train_fn,train_tp,train_loss,train_num_samples,train_positive_count,train_positive_rate,val_accuracy,val_precision,val_recall,val_f1,val_auroc,val_auprc,val_tn,val_fp,val_fn,val_tp,val_loss,val_num_samples,val_positive_count,val_positive_rate,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_auprc,test_tn,test_fp,test_fn,test_tp,test_loss,test_num_samples,test_positive_count,test_positive_rate
1,0.019852974207278648,1,0.42366412213740456,0.9455368979231109,0.3780487804878049,1.0,0.5486725663716814,0.9968965741769672,0.901177236188905,24778,1479,0,899,0.13920433142168004,27156,899,0.033105022831050226,0.9214972706004679,0.28316326530612246,0.8409090909090909,0.42366412213740456,0.9691922590643991,0.7329437523226566,3434,281,21,111,0.5832664073857562,3847,132,0.03431245126072264,0.9244913928012519,0.2818057455540356,0.7923076923076923,0.4157416750756811,0.954648041618209,0.64750005799135,6883,525,54,206,0.735074335331244,7668,260,0.03390714658320292
2,0.008707901610107894,2,0.48214285714285715,0.9558108705258507,0.4282991900905193,1.0,0.5997331554369579,0.9975603730101232,0.9220323040539032,25057,1200,0,899,0.11272852776424228,27156,899,0.033105022831050226,0.9396932674811541,0.34177215189873417,0.8181818181818182,0.48214285714285715,0.9626065500224316,0.7444710088502711,3507,208,24,108,0.6647219119481852,3847,132,0.03431245126072264,0.9360980699008868,0.31746031746031744,0.7692307692307693,0.449438202247191,0.9471589965110483,0.6742450190823704,6978,430,60,200,0.8090564682380135,7668,260,0.03390714658320292
3,0.008870900747014928,2,0.48214285714285715,0.9483723670643688,0.3906996957844415,1.0,0.561875,0.9977497393247706,0.9280971419028906,24855,1402,0,899,0.14311948255097362,27156,899,0.033105022831050226,0.9246165843514427,0.28763440860215056,0.8106060606060606,0.4246031746031746,0.9532383049879686,0.7190090593318398,3450,265,25,107,0.7825490854948078,3847,132,0.03431245126072264,0.924621804903495,0.2773109243697479,0.7615384615384615,0.406570841889117,0.9405915122944011,0.6611093122846805,6892,516,62,198,0.9024140623261608,7668,260,0.03390714658320292
4,0.0068045586366716725,4,0.6017699115044248,0.9722344969804095,0.543859649122807,1.0,0.7045454545454546,0.9980405246455175,0.9343242999031377,25503,754,0,899,0.08476223862562743,27156,899,0.033105022831050226,0.9649077203015337,0.4927536231884058,0.7727272727272727,0.6017699115044248,0.9460989436763325,0.7443939246004957,3610,105,30,102,0.8988459271901981,3847,132,0.03431245126072264,0.9565727699530516,0.420824295010846,0.7461538461538462,0.5381414701803051,0.93411488619372,0.6741613778415663,7141,267,66,194,1.0432838317226418,7668,260,0.03390714658320292
5,0.006900241241130102,4,0.6017699115044248,0.9731182795698925,0.5518723143032536,1.0,0.7112341772151899,0.9981753263486959,0.9373293374180736,25527,730,0,899,0.07440245034854098,27156,899,0.033105022831050226,0.9633480634260463,0.4786729857819905,0.7651515151515151,0.5889212827988338,0.9467678127166688,0.7406936184154219,3605,110,31,101,0.9597896955618909,3847,132,0.03431245126072264,0.9561815336463224,0.4147982062780269,0.7115384615384616,0.5240793201133145,0.9344105644625352,0.664409298727252,7147,261,75,185,1.1154882396548504,7668,260,0.03390714658320292
6,0.006514443937551164,4,0.6017699115044248,0.9729709824716453,0.5505205143906919,1.0,0.7101105845181674,0.9982831846567701,0.9393774305114287,25523,734,0,899,0.07625151984071221,27156,899,0.033105022831050226,0.9649077203015337,0.4927536231884058,0.7727272727272727,0.6017699115044248,0.9468973041314899,0.7314741147952218,3610,105,30,102,0.9469751799413252,3847,132,0.03431245126072264,0.9563119457485655,0.4145785876993166,0.7,0.5207439198855508,0.9369488806280113,0.6606215727299094,7151,257,78,182,1.1480729095482336,7668,260,0.03390714658320292
7,0.005999787380326375,4,0.6017699115044248,0.9736338194137576,0.556656346749226,1.0,0.7151949085123309,0.9981829942017051,0.9391237389894902,25541,716,0,899,0.07166827837407747,27156,899,0.033105022831050226,0.9633480634260463,0.4788732394366197,0.7727272727272727,0.591304347826087,0.9354378237285369,0.7350575508044623,3604,111,30,102,0.9848532052249432,3847,132,0.03431245126072264,0.9576160667709963,0.42596810933940776,0.7192307692307692,0.5350500715307582,0.9256881853297891,0.6730126036077155,7156,252,73,187,1.1653897497454637,7668,260,0.03390714658320292
8,0.006209130226303836,4,0.6017699115044248,0.9685888937987922,0.5131278538812786,1.0,0.6782346284420974,0.9977544205278508,0.9289386459329753,25404,853,0,899,0.08665660657273958,27156,899,0.033105022831050226,0.9602287496750714,0.45569620253164556,0.8181818181818182,0.5853658536585366,0.9363218320486154,0.7475747949286555,3586,129,24,108,0.8534179534777585,3847,132,0.03431245126072264,0.9531820552947313,0.40119760479041916,0.7730769230769231,0.5282522996057819,0.9202922516198704,0.6916792858006783,7108,300,59,201,0.9878555703305785,7668,260,0.03390714658320292
9,0.006296386571033892,9,0.6246246246246246,0.9770953012225659,0.5910585141354372,1.0,0.7429752066115702,0.9983690137738788,0.9446600364462812,25635,622,0,899,0.0665605822709595,27156,899,0.033105022831050226,0.967507148427346,0.5174129353233831,0.7878787878787878,0.6246246246246246,0.937420979648436,0.7526554944156175,3618,97,28,104,0.9603134228264458,3847,132,0.03431245126072264,0.9604851330203443,0.4486873508353222,0.7230769230769231,0.5537555228276878,0.9328872632497092,0.6701521054781294,7177,231,72,188,1.164791205037049,7668,260,0.03390714658320292
10,0.0051665671249232865,9,0.6246246246246246,0.9796730004418913,0.6195727084769125,1.0,0.7651063829787234,0.9984862556700278,0.9446640512079769,25705,552,0,899,0.061450574201750374,27156,899,0.033105022831050226,0.9680270340525085,0.5238095238095238,0.75,0.616822429906542,0.9350146824911294,0.743602088692054,3625,90,33,99,1.0652036416107207,3847,132,0.03431245126072264,0.9623109024517476,0.46272493573264784,0.6923076923076923,0.5546995377503852,0.9291246988702442,0.6590075566708177,7199,209,80,180,1.2754499204056002,7668,260,0.03390714658320292
