feature,importance,abs_importance
has_init_win_bytes_backward,0.1363538036957766,0.1363538036957766
packet_length_mean,0.09524978496467795,0.09524978496467795
max_packet_length,0.09503263108671824,0.09503263108671824
has_init_win_bytes_forward,0.093437138243944,0.093437138243944
bwd_packet_length_std,0.08086857316647147,0.08086857316647147
average_packet_size,0.06842340725226023,0.06842340725226023
packet_length_variance,0.06459272374965036,0.06459272374965036
bwd_packet_length_mean,0.046520044799840926,0.046520044799840926
bwd_packet_length_max,0.04380015901288802,0.04380015901288802
avg_bwd_segment_size,0.04017335233822899,0.04017335233822899
init_win_bytes_forward,0.03915023506595481,0.03915023506595481
packet_length_std,0.027832092463522,0.027832092463522
protocol,0.022412573608404984,0.022412573608404984
min_seg_size_forward,0.01944613331368266,0.01944613331368266
fwd_packet_length_std,0.014197469393847166,0.014197469393847166
fwd_packet_length_max,0.011980094322519974,0.011980094322519974
init_win_bytes_backward,0.010544370669400472,0.010544370669400472
bwd_iat_min,0.0071520552923538365,0.0071520552923538365
down_up_ratio,0.004581826011443812,0.004581826011443812
bwd_header_length,0.003419632068761659,0.003419632068761659
destination_port,0.0032562131823864558,0.0032562131823864558
flow_iat_min,0.002843276124583348,0.002843276124583348
fwd_iat_max,0.0027632308689175948,0.0027632308689175948
bwd_iat_total,0.0027272383067903725,0.0027272383067903725
fwd_iat_std,0.0027214093158585283,0.0027214093158585283
syn_flag_count,0.0026688952100690664,0.0026688952100690664
rst_flag_count,0.002645358005191156,0.002645358005191156
fwd_iat_total,0.002641298030562311,0.002641298030562311
fwd_iat_mean,0.0025661065872871823,0.0025661065872871823
source_port,0.0023747760125137894,0.0023747760125137894
total_length_of_bwd_packets,0.0023073476102076127,0.0023073476102076127
fwd_packet_length_mean,0.0023050140146892166,0.0023050140146892166
bwd_iat_mean,0.002251100156556545,0.002251100156556545
avg_fwd_segment_size,0.0020731706186754312,0.0020731706186754312
total_length_of_fwd_packets,0.0020191940951023884,0.0020191940951023884
fin_flag_count,0.0020008603934051176,0.0020008603934051176
fwd_iat_min,0.001988225237263024,0.001988225237263024
flow_duration,0.001861376668280413,0.001861376668280413
ack_flag_count,0.0017803939208269704,0.0017803939208269704
bwd_iat_std,0.0017698106918666173,0.0017698106918666173
bwd_iat_max,0.001663583188553882,0.001663583188553882
flow_iat_mean,0.0016102742780856932,0.0016102742780856932
flow_iat_max,0.00152110656977083,0.00152110656977083
fwd_header_length,0.0015119876565000976,0.0015119876565000976
total_fwd_packets,0.001403966132108501,0.001403966132108501
idle_max,0.0013908324000531005,0.0013908324000531005
flow_iat_std,0.0013639602077402215,0.0013639602077402215
total_backward_packets,0.001360587995395614,0.001360587995395614
bwd_psh_flags,0.0012357989170817772,0.0012357989170817772
active_min,0.0012281348328933837,0.0012281348328933837
fwd_psh_flags,0.00119068557962392,0.00119068557962392
flow_packets_per_s,0.0011554773213338604,0.0011554773213338604
psh_flag_count,0.0011043383694079398,0.0011043383694079398
act_data_pkt_fwd,0.0009968911495138338,0.0009968911495138338
active_max,0.0009845511182125276,0.0009845511182125276
bwd_packets_per_s,0.000972941406548072,0.000972941406548072
idle_mean,0.0009162500429786891,0.0009162500429786891
idle_min,0.000895463294854781,0.000895463294854781
flow_bytes_per_s,0.0008726962310578015,0.0008726962310578015
fwd_packets_per_s,0.0008607847945613971,0.0008607847945613971
idle_std,0.0007359456745003199,0.0007359456745003199
active_mean,0.0006552827121222411,0.0006552827121222411
active_std,0.0006411924805555944,0.0006411924805555944
bwd_packet_length_min,0.0003212087233389614,0.0003212087233389614
fwd_packet_length_min,0.00028085013428486515,0.00028085013428486515
min_packet_length,0.00023367172599352167,0.00023367172599352167
cwe_flag_count,8.729022391328658e-05,8.729022391328658e-05
ece_flag_count,7.185126763402543e-05,7.185126763402543e-05
