flow_id,source_ip,source_port,destination_ip,destination_port,protocol,flow_duration,total_fwd_packets,total_backward_packets,total_length_of_fwd_packets,total_length_of_bwd_packets,fwd_packet_length_max,fwd_packet_length_min,fwd_packet_length_mean,fwd_packet_length_std,bwd_packet_length_max,bwd_packet_length_min,bwd_packet_length_mean,bwd_packet_length_std,flow_bytes_per_s,flow_packets_per_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_total,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_total,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_length,bwd_header_length,fwd_packets_per_s,bwd_packets_per_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,packet_length_variance,fin_flag_count,syn_flag_count,rst_flag_count,psh_flag_count,ack_flag_count,urg_flag_count,cwe_flag_count,ece_flag_count,down_up_ratio,average_packet_size,avg_fwd_segment_size,avg_bwd_segment_size,init_win_bytes_forward,init_win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,label
551182505078179,18.231.136.81,46190,185.41.138.160,13,6,431818,2,1,0,40,0,0,0.000000,0.000000,40,40,40.000000,0.000000,92.631618,6.947371,28.000000,0.000000,28,28,431790,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,80,28,4.631581,2.315790,0,40,13.333333,23.094011,533.333333,0,1,0,0,0,0,0,0,0.500000,13.333333,0.000000,40.000000,65535,-1,0,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
742983618654137,83.222.191.38,40005,185.41.138.158,8179,6,755551,2,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,2.647075,0.000000,0.000000,0,0,755551,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,80,0,2.647075,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,1024,-1,0,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
577189997506559,185.239.61.100,63689,162.247.243.29,443,6,1351536,8,9,3288,4658,1460,0,411.000000,599.736132,2912,0,517.555556,1000.383440,5879.236661,12.578281,11722.333333,26996.994557,105316,0,1351536,29305.833333,44360.315682,116952,8,1348047,23529.285714,39189.411069,105316,7,3,4,0,0,332,372,5.919191,6.659090,0,2912,467.411765,812.865615,660750.507353,0,2,0,7,14,0,0,0,1.125000,467.411765,411.000000,517.555556,65535,65535,4,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,1
496627298791617,195.184.76.225,49885,185.239.60.48,443,6,419088,2,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,4.772267,0.000000,0.000000,0,0,419088,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,100,0,4.772267,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,5840,-1,0,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
553641440637323,185.239.63.149,56875,104.109.143.6,443,6,239195,12,12,605,4518,300,0,50.416667,88.551432,2920,0,376.500000,851.381071,21417.671774,100.336545,3135.318182,4570.856681,12569,0,239195,6897.700000,8656.311840,21423,26,228358,5450.500000,8736.893896,22533,7,5,8,0,0,492,492,50.168273,50.168273,0,2920,213.458333,614.943757,378155.824275,2,2,1,13,21,0,0,0,1.000000,213.458333,50.416667,376.500000,64240,64240,5,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,1
843861307618261,185.239.60.98,60699,4.208.13.192,443,6,817106,12,8,5367,5529,1440,0,447.250000,618.871278,2920,0,691.125000,1198.509484,13334.867202,24.476628,9396.666667,13559.853660,44163,0,817106,16914.000000,25279.735767,77920,6,772943,16725.666667,23486.378722,59359,17,4,3,0,0,492,332,14.685977,9.790651,0,2920,544.800000,875.198420,765972.273684,0,2,0,7,17,0,0,0,0.666667,544.800000,447.250000,691.125000,64240,64240,6,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,1
771718503724013,185.41.139.114,8851,8.8.4.4,53,6,1184464,7,5,36,116,34,0,5.142857,12.746615,116,0,23.200000,51.876777,128.328088,10.131165,2900.700000,3196.910420,8856,0,1184464,5801.400000,4885.159138,10108,12,1171507,3413.333333,5875.697859,10198,14,2,1,0,0,292,212,5.909846,4.221319,0,116,12.666667,33.966115,1153.696970,1,2,0,3,9,0,0,0,0.714286,12.666667,5.142857,23.200000,64240,65535,2,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
590160679007581,185.239.60.98,64933,145.128.246.22,443,6,1173443,6,10,1401,5751,1105,0,233.500000,434.453565,2760,0,575.100000,1062.114082,6094.884881,13.635089,4304.142857,4862.323944,15835,0,1166654,13367.250000,10052.111864,22512,1138,1173443,6810.000000,8854.075591,21512,23,3,5,0,0,252,412,5.113158,8.521931,0,2760,447.000000,876.892848,768941.066667,0,2,0,8,13,0,0,0,1.666667,447.000000,233.500000,575.100000,65535,64240,3,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,1
834563638556361,45.163.176.223,15022,185.239.60.236,443,6,842409,2,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,2.374144,0.000000,0.000000,0,0,842409,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,92,0,2.374144,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,64240,-1,0,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
428342594107183,31.149.167.226,50174,185.239.61.62,443,6,495468,14,9,728,3992,342,0,52.000000,103.021282,1440,0,443.555556,637.821509,9526.346807,46.420758,4394.238095,6141.931495,20488,0,495468,7689.916667,10657.700370,26921,9,480532,10130.000000,12433.214816,26772,7,4,6,0,0,616,372,28.256113,18.164644,0,1440,205.217391,438.613928,192382.177866,2,2,1,10,20,0,0,0,0.642857,205.217391,52.000000,443.555556,64240,8190,4,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
329740486375631,92.70.37.223,56190,185.239.60.34,8443,6,492947,9,2,524,0,517,0,58.222222,172.057242,0,0,0.000000,0.000000,1062.994602,22.314772,5242.222222,6078.692639,18613,0,492947,6740.000000,6771.650464,18613,6,449520,0.000000,0.000000,0,0,2,0,0,0,372,92,18.257541,4.057231,0,517,47.636364,155.684471,24237.654545,1,2,1,2,7,0,0,0,0.222222,47.636364,58.222222,0.000000,29200,65535,2,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
366750396184785,185.41.137.98,60596,91.228.167.151,443,6,488344,11,7,2818,4419,1448,0,256.181818,451.046520,2896,0,631.285714,1037.983095,14819.471520,36.859263,10314.500000,11014.467456,30325,0,488344,18336.888889,13884.258456,33609,12,458540,22928.000000,11316.558642,33949,4097,5,4,0,0,568,360,22.525105,14.334158,0,2896,402.055556,731.669282,535339.937908,1,2,0,9,15,0,0,0,0.636364,402.055556,256.181818,631.285714,65535,65160,6,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,1
411673112017193,185.41.139.36,6054,52.57.173.160,443,6,441817,13,10,954,9700,746,0,73.384615,210.113278,1248,189,970.000000,444.508968,24114.056272,52.057752,5145.000000,12919.658951,59242,2,441817,9822.272727,17360.127448,59242,8,81249,9027.666667,23790.498051,72071,2,2,6,0,0,672,520,29.423947,22.633805,0,1248,463.217391,558.079333,311452.541502,0,1,0,8,21,0,0,0,0.769231,463.217391,73.384615,970.000000,5040,9,2,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
745743261628935,20.64.105.47,37955,185.41.136.7,80,6,690657,2,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,2.895793,0.000000,0.000000,0,0,690657,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,80,0,2.895793,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,65535,-1,0,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
515386821179911,212.84.139.22,56428,185.239.60.34,8080,6,130208,5,5,9167,0,6247,0,1833.400000,2772.392072,0,0,0.000000,0.000000,70402.740231,76.800197,4304.125000,4371.672659,12748,0,124550,9591.666667,7625.914852,15507,985,130208,9919.333333,9209.955284,18329,77,1,0,0,0,212,212,38.400098,38.400098,0,6247,916.700000,2085.612622,4349780.011111,1,2,0,1,7,0,0,0,1.000000,916.700000,1833.400000,0.000000,29200,65535,2,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,1
639906080947825,185.41.138.235,49801,158.177.208.33,443,6,1255839,2,0,0,0,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,1.592561,0.000000,0.000000,0,0,1255839,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,104,0,1.592561,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,65535,-1,0,20,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
714087069777925,40.99.205.18,443,185.41.138.172,51553,6,52684,1,1,47,0,47,47,47.000000,0.000000,0,0,0.000000,0.000000,892.111457,37.962190,52684.000000,0.000000,52684,52684,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,1,0,0,0,40,40,18.981095,18.981095,0,47,23.500000,33.234019,1104.500000,0,0,0,1,2,0,0,0,1.000000,23.500000,47.000000,0.000000,16384,1018,1,20,52684.000000,0.000000,52684,52684,0.000000,0.000000,0,0,0
487170347827206,52.98.179.178,443,185.239.61.42,55966,6,1283234,5,6,132,3936,47,0,26.400000,24.378269,1460,0,656.000000,714.394009,3170.115505,8.572092,128323.400000,295622.184556,940407,11,1283234,320808.500000,445473.891924,954536,11,1021283,204256.600000,443947.952402,998217,12,3,1,0,0,200,240,3.896405,4.675687,0,1460,369.818182,602.930480,363525.163636,0,0,0,4,11,0,0,0,1.200000,369.818182,26.400000,656.000000,16384,2042,3,20,1283234.000000,0.000000,1283234,1283234,0.000000,0.000000,0,0,0
395670827106322,10.91.35.167,0,185.41.136.49,8,1,0,1,0,56,0,56,56,56.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,28,0,0.000000,0.000000,56,56,56.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,56.000000,56.000000,0.000000,-1,-1,0,0,0.000000,0.000000,0,0,0.000000,0.000000,0,0,0
780106046308420,2.18.244.199,443,185.239.60.226,55515,6,7199,3,2,24,0,24,0,8.000000,13.856406,0,0,0.000000,0.000000,3333.796361,694.540908,1799.750000,1631.295881,3229,13,7199,3599.500000,5072.076941,7186,13,820,820.000000,0.000000,820,820,1,0,0,0,120,80,416.724545,277.816363,0,24,4.800000,10.733126,115.200000,2,0,0,1,5,0,0,0,0.666667,4.800000,8.000000,0.000000,501,1023,1,20,7199.000000,0.000000,7199,7199,0.000000,0.000000,0,0,0
619059069976648,185.41.138.25,50745,13.107.136.10,443,6,12,2,0,2789,0,1440,1349,1394.500000,64.346717,0,0,0.000000,0.000000,232416666.666667,166666.666667,12.000000,0.000000,12,12,12,12.000000,0.000000,12,12,0,0.000000,0.000000,0,0,0,0,0,0,80,0,166666.666667,0.000000,1349,1440,1394.500000,64.346717,4140.500000,0,0,0,0,2,0,0,0,0.000000,1394.500000,1394.500000,0.000000,4095,-1,2,20,12.000000,0.000000,12,12,0.000000,0.000000,0,0,0
742279741309003,185.41.139.36,18531,20.50.88.227,443,6,5324,1,1,1,0,1,1,1.000000,0.000000,0,0,0.000000,0.000000,187.828700,375.657400,5324.000000,0.000000,5324,5324,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,40,52,187.828700,187.828700,0,1,0.500000,0.707107,0.500000,0,0,0,0,2,0,0,0,1.000000,0.500000,1.000000,0.000000,1026,16380,1,20,5324.000000,0.000000,5324,5324,0.000000,0.000000,0,0,0
818333751443531,185.239.61.42,63885,52.209.86.243,443,6,28240,1,1,1,0,1,1,1.000000,0.000000,0,0,0.000000,0.000000,35.410765,70.821530,28240.000000,0.000000,28240,28240,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,0,0,0,0,40,52,35.410765,35.410765,0,1,0.500000,0.707107,0.500000,0,0,0,0,2,0,0,0,1.000000,0.500000,1.000000,0.000000,513,132,1,20,28240.000000,0.000000,28240,28240,0.000000,0.000000,0,0,0
558125378043985,185.239.63.150,61017,52.111.243.13,443,6,690415,6,1,2428,138,1113,0,404.666667,473.466225,138,138,138.000000,0.000000,3716.605230,10.138830,115069.166667,152109.654754,311605,10898,690415,138083.000000,158163.496223,311605,22286,0,0.000000,0.000000,0,0,3,1,0,0,240,40,8.690425,1.448404,0,1113,366.571429,443.809966,196967.285714,0,0,0,4,7,0,0,0,0.166667,366.571429,404.666667,138.000000,1021,16385,3,20,690415.000000,0.000000,690415,690415,0.000000,0.000000,0,0,0
